Classification,count,mean,median,sum
Extreme Fear,21400,34.53786207897196,0.0,739110.24849
Extreme Greed,39992,67.89286133909282,0.0,2715171.310673
Fear,61837,54.2903996254993,0.0,3357155.441642
Greed,50303,42.74355948851957,0.0,2150129.272951
Neutral,37686,34.30771839807886,0.0,1292920.67555
