Classification,Auto-Deleveraging,Buy,Close Long,Close Short,Liquidated Isolated Short,Long > Short,Open Long,Open Short,Sell,Settlement,Short > Long,Spot Dust Conversion
Extreme Fear,0.0,3.7710280373831777,29.16355140186916,14.565420560747663,0.0,0.023364485981308414,32.73364485981308,14.83177570093458,4.869158878504673,0.0,0.028037383177570093,0.014018691588785047
Extreme Greed,0.0,12.832566513302659,17.96859371874375,16.245749149829965,0.0,0.017503500700140028,15.753150630126026,19.16133226645329,17.91358271654331,0.0,0.027505501100220042,0.08001600320064013
Fear,0.0,5.186215372673319,27.912091466274237,14.911784206866438,0.0,0.022640166890373077,28.824166761000697,17.605964066820835,5.440108672801074,0.0,0.029108786001908242,0.06792050067111924
Greed,0.015903624038327735,9.31355982744568,15.899648132318154,22.507603920243323,0.001987953004790967,0.03180724807665547,16.98507047293402,23.187483847881836,11.899886686678727,0.001987953004790967,0.04572291911019223,0.10933741526350316
Neutral,0.0,7.655362734171842,26.516478267791754,15.523005890781722,0.0,0.03980257920713262,27.124130977020645,16.857719046860904,6.225123387995542,0.0,0.0318420633657061,0.026535052804755082
